ACIW
ATVI
ACTA
ACXM
ADBE
AMD
AGYS
MDRX
GOOG
GOOGL
AMSWA
AMKR
ASYS
ADI
ANSS
AAPL
AMAT
AAOI
ARIS
ARRS
AZPN
ALOT
ASUR
ABTL
ADSK
ADP
AVNW
AWRE
ACLS
AXTI
BBSI
BV
BNFT
BBOX
BLKB
BCOR
EPAY
BCOV
BSFT
BVSN
BRCD
BRKS
CA
CCMP
CDNS
CAMP
CALD
CARB
CAVM
CERN
CEVA
CRUS
CSCO
CTXS
CTSH
COMM
CVLT
CPSI
CTG
CMTL
CCUR
CNXR
CSOD
COVS
CRAY
CREE
CCRN
CRDS
CSGS
CSPI
CVV
CY
CYRN
DRAM
DWCH
DTRM
DGII
DMRC
DGLY
DIOD
DLHC
DSPG
EBIX
ELON
SATS
EDGW
EGAN
EA
EFII
EMKR
EIGI
ERII
ENOC
ENPH
PLUS
EVOL
EXA
EXTR
FFIV
FB
FALC
FNSR
FEYE
FSLR
FISV
FPAY
FORM
FTNT
FNCX
FSNN
GFN
GFNCP
GLUU
GEC
GRPN
GSIT
GUID
HLIT
HSTM
HSII
HSON
INVE
IMMR
IMPV
INOD
ISSC
INPX
IDTI
INTC
LINK
IMI
INAP
INTX
IVAC
INTU
IPAS
IPGP
IXYS
JCOM
JKHY
JIVE
KELYA
KELYB
KTEC
KTCC
KFRC
KOPN
KVHI
LRCX
LTRX
LSCC
LPTH
LECO
LIVE
LPSN
LOGI
LORL
MTSI
MNGA
MANH
MNTX
MATR
MXIM
MGRC
MDSO
MLNX
MCHP
MU
MSCC
MSFT
MSTR
MIND
MITK
MPWR
TYPE
MOSY
MRVC
NATI
NCIT
NETE
NTAP
NLST
NTCT
NTWK
NUAN
NVEC
NVDA
OCLR
OMCL
ON
OSIS
PFIN
PCYG
PRKR
PCTI
PDFS
PEGA
PRFT
PLAB
PXLW
PLXS
COOL
POWI
IPDN
PRGS
PFPT
PTC
QADA
QADB
QCOM
QSII
QBAK
QLYS
QRHC
QUIK
QUMU
RSYS
RMBS
RCMT
RNWK
RP
RCII
RBCN
SABR
SANM
SCSC
SGMS
SEAC
SMTC
SHSP
SIGM
SGMA
SLAB
SLP
SWKS
SMSI
SRAX
SCKT
SOFO
SONS
SPLK
SPSC
SSNC
STAF
SSYS
STRM
SPWR
SMCI
SCON
SPRT
SYKE
SYMC
SYNC
SYNA
SNCR
SNPS
SYNT
TTWO
TECD
TCCO
TTEC
TXN
KEYW
MIDD
ULTI
TACT
TZOO
TRIP
TSRI
TTMI
TWIN
UBNT
UCTT
UTEK
VDSI
VECO
VRNT
VRSN
VRSK
VSAT
VIAV
VRTU
VUZI
WSTG
WEB
WDC
WSCI
XLNX
XPER
XPLR
YHOO
ZBRA
ZIXI
ZNGA
